text,key,tweet.user.screen_name,Other,user.location,created_at
"Jamaica Stronger! #JLPStronger 🇯🇲
Join us this Sunday, Nov. 20, 2022 at 11:00am for our 79th Annual Conference. 
-… https://t.co/IIt5x2Oivf",V67A73LKV75EWZK98Q6WHGN61,AndrewHolnessJM,CMJB6L9LYFJKK9F9D41A9ZNXB,Jamaica,2022-11-16 16:42:44+00:00
Persons in possession of licensed firearms or ammunition without appropriate authorization are to surrender these w… https://t.co/lBAV79CY2o,CRJFYPNEX2QARDC9VM7O3AK0D,AndrewHolnessJM,69RS51HIE7VR4B0IXHB1XVUMA,Jamaica,2022-11-16 13:13:46+00:00
"The Gun Amnesty ends in THREE DAYS!

Persons in possession of illegal firearms or ammunition are to surrender these… https://t.co/Gx39kQ5HXk",FX4PKJPQOH6GJLOEMR1Y1TUOA,AndrewHolnessJM,58ISR3CEFVXLWZT44J3IDEER4,Jamaica,2022-11-16 13:13:45+00:00
"(3/3)  We wish the Opposition would appreciate this because our Constitution requires that they participate, but le… https://t.co/81QNZLBpf8",HN14G0QINF2X9IXS7P4F1MSV0,AndrewHolnessJM,IOE2HWSFDR4XY1WXL9CI0Z15C,Jamaica,2022-11-16 01:05:04+00:00
"(2/3) Over the years, we have invested in the capacity of our security forces. Your gov't has increased the capital… https://t.co/dwBjRjFpag",TNKCW57ZHVT7042YY0KIRKGQI,AndrewHolnessJM,4OI8YPYI1OA3885GZ8L2P9L0H,Jamaica,2022-11-16 01:05:03+00:00
"(1/3) As a people, we must recognize that the murder rate, the level of violence, public disorder, and challenge to… https://t.co/7N1GUBpnlT",BV5B843FEYCEHGBKBEY9NGGVM,AndrewHolnessJM,40DI8DK67RFYD0R0OIBWEAZA9,Jamaica,2022-11-16 01:01:35+00:00
"(2/2)... as well as in Western Jamaica comprising the parishes of St. James, Westmoreland &amp; Hanover.",V5SE4K3KAUXGOBXRUU03140XZ,AndrewHolnessJM,4FK7L8ARU8O3H3BOH73I6L6GN,Jamaica,2022-11-15 21:40:06+00:00
"(1/2) Chief of Defence Staff, Rear Admiral Antonette Wemyss Gorman outlines the boundaries for the State of Public… https://t.co/JuQ18ZBYHY",7UJNOXPDGRW6PNF6LFUMLCYNC,AndrewHolnessJM,80GDC58ZMIICKSNWDAKO4KG79,Jamaica,2022-11-15 21:39:50+00:00
(3/3) What we are seeing with gang activities in these areas is cause for grave concern. It was necessary and appro… https://t.co/Ao4PzMWTw9,IP8EJB9S2AE3831S46689NFH8,AndrewHolnessJM,ZMDZJ0G26611B0SYEVZK3SYE3,Jamaica,2022-11-15 20:47:42+00:00
"(2/3) It is important to note that we are also approaching the Christmas season, which will require the deployment… https://t.co/imuiOVJTkT",IYLM27L1KE2TUC44R4I5OFPS1,AndrewHolnessJM,NXR3F75NMILV05ZHZRAWFL6HL,Jamaica,2022-11-15 20:47:41+00:00
